Amount,CBK,hour,day_of_week,card_txn_count
154.0,0,16,4,1
220.0,0,13,4,1
89.6,0,13,5,1
78.4,0,20,0,1
66.0,0,9,2,1
55.0,0,9,5,1
20.0,0,14,4,1
55.0,1,11,4,4
70.0,0,12,1,1
78.96,0,12,0,1
60.89,0,20,3,2
190.4,0,20,5,2
132.25,0,20,0,1
88.0,0,15,4,1
165.0,1,18,4,3
154.0,0,15,4,1
104.5,0,23,0,1
134.4,0,19,2,1
34.5,0,18,4,1
48.0,0,21,0,1
200.0,0,7,4,1
143.0,0,0,0,1
134.4,0,22,0,1
187.0,0,1,4,1
37.77,0,21,0,1
23.0,0,12,3,1
132.25,0,22,0,1
34.5,0,19,4,1
99.0,0,18,4,2
34.5,0,15,4,1
143.0,0,20,1,1
121.0,0,15,3,5
16.5,0,15,1,1
145.6,1,1,3,5
92.0,0,1,3,1
33.0,0,12,5,1
5.0,0,23,2,1
88.0,0,9,3,1
193.43,0,0,4,1
62.1,0,18,2,1
44.8,0,17,0,4
89.6,0,20,6,1
55.0,0,10,2,2
34.5,0,20,2,1
156.8,0,16,0,1
100.0,0,18,3,1
176.0,0,19,2,3
172.5,0,21,3,3
100.8,0,12,4,2
89.6,0,23,5,3
168.0,0,15,4,1
77.0,0,23,0,3
20.0,0,22,5,2
15.0,0,13,2,1
20.0,0,23,3,1
143.0,0,16,5,1
250.0,1,16,6,20
25.37,0,4,5,3
257.6,0,16,1,3
154.0,1,15,0,8
49.5,0,16,3,1
60.89,0,16,0,1
124.2,0,9,4,1
176.0,0,22,3,2
16.5,0,20,5,1
80.5,0,11,3,1
69.0,0,10,0,1
179.2,0,20,0,1
16.5,0,16,3,3
78.4,0,10,3,1
224.0,0,9,2,1
198.0,0,22,3,1
103.5,0,15,2,2
77.0,0,21,4,2
33.0,0,12,5,1
440.0,0,18,5,1
17.24,0,13,1,8
110.0,0,23,3,1
154.0,0,17,2,1
165.0,0,0,6,1
33.0,0,13,0,1
79.35,0,11,3,1
34.5,0,10,4,1
78.4,0,14,0,1
10.0,0,10,2,2
403.2,0,9,4,1
134.4,0,8,2,1
110.0,0,20,0,1
86.27,0,7,0,2
154.0,0,15,6,2
123.2,1,16,5,9
55.0,0,21,3,1
33.0,0,0,0,1
165.0,0,21,0,1
286.0,0,16,1,1
89.6,0,19,5,1
99.0,0,21,3,1
132.0,0,12,0,1
77.0,0,1,3,1
396.0,0,20,1,1
117.6,0,18,4,1
190.0,0,14,5,1
69.0,0,21,4,1
123.2,1,16,5,9
10.0,0,19,2,1
89.6,0,15,3,1
15.0,0,0,2,1
35.0,0,22,2,1
134.4,0,1,5,1
198.0,0,20,1,1
46.0,0,11,4,1
190.4,0,13,0,1
112.0,0,12,0,1
264.5,0,16,1,2
106.4,0,1,1,5
264.0,0,16,2,1
352.0,0,15,2,1
33.0,0,18,5,2
103.5,0,16,4,1
55.0,1,22,1,1
165.0,0,23,4,1
154.0,0,13,1,1
70.0,0,15,4,1
99.0,0,17,3,3
103.5,0,14,2,1
132.0,0,10,5,1
184.0,0,20,5,1
154.0,0,16,0,1
140.0,0,14,4,1
143.0,0,21,5,1
70.0,0,19,0,1
99.0,0,16,5,2
50.75,0,12,5,1
165.0,0,13,2,1
374.0,0,13,5,1
44.8,0,23,0,1
5.0,0,11,3,1
148.5,0,19,6,1
110.0,0,22,3,1
69.0,0,17,1,1
115.0,0,16,4,2
78.4,0,11,3,1
110.0,0,19,1,1
88.0,0,22,2,1
224.0,0,21,1,1
420.0,1,3,5,5
78.4,0,14,0,1
179.2,0,0,2,1
44.8,0,15,0,1
180.0,1,19,5,1
352.0,0,23,2,1
126.5,1,9,4,3
62.1,0,22,6,1
280.0,0,12,3,1
99.0,0,12,5,2
92.0,0,18,4,1
123.3,0,10,3,1
184.0,0,22,4,1
20.0,0,18,5,2
134.4,0,13,6,2
69.0,0,13,3,2
187.0,0,16,3,1
144.0,0,16,4,1
100.48,0,19,0,1
630.0,0,11,0,1
134.4,0,22,0,2
35.53,0,16,5,2
77.0,0,18,0,1
20.0,0,12,6,1
121.0,0,11,3,2
5.0,0,22,0,1
143.0,0,16,1,1
55.0,0,11,2,1
134.4,0,13,3,2
154.0,0,9,2,4
66.0,0,22,2,1
319.0,0,11,5,1
23.0,0,21,2,3
44.0,0,18,4,1
154.0,0,21,0,3
264.0,0,20,4,1
89.6,0,0,5,1
268.8,0,16,1,1
70.0,0,17,5,1
67.2,0,15,5,2
67.2,0,13,4,1
156.8,0,11,3,1
90.4,0,22,4,3
69.0,0,16,2,1
15.0,0,17,1,1
39.07,0,15,1,7
89.6,0,13,3,1
16.5,0,16,5,1
110.0,0,15,4,1
46.0,0,11,0,1
20.0,0,13,3,1
92.0,0,22,3,2
